Tanggal;Produk;Kategori;Region;Sales_Rep;Qty;Harga_Satuan;Total_Penjualan
03/09/2024;Mouse;Aksesoris;Medan;Sari Dewi;15;150000;2250000
06/09/2024;Keyboard;Aksesoris;Makassar;Ahmad Fauzi;6;350000;2100000
10/09/2024;Monitor;Elektronik;Jakarta;Rina Kusuma;3;3500000;10500000
13/09/2024;Headset;Elektronik;Bandung;Dodi Pratama;9;500000;4500000
17/09/2024;Laptop;Elektronik;Surabaya;Budi Santoso;4;8500000;34000000
20/09/2024;Mouse;Aksesoris;Jakarta;Sari Dewi;19;150000;2850000
24/09/2024;Keyboard;Aksesoris;Medan;Ahmad Fauzi;5;350000;1750000
27/09/2024;Monitor;Elektronik;Makassar;Rina Kusuma;2;3500000;7000000
01/10/2024;Headset;Elektronik;Jakarta;Dodi Pratama;12;500000;6000000
04/10/2024;Laptop;Elektronik;Bandung;Budi Santoso;3;8500000;25500000
08/10/2024;Mouse;Aksesoris;Surabaya;Sari Dewi;16;150000;2400000
11/10/2024;Keyboard;Aksesoris;Jakarta;Ahmad Fauzi;7;350000;2450000
15/10/2024;Monitor;Elektronik;Medan;Rina Kusuma;5;3500000;17500000
18/10/2024;Headset;Elektronik;Makassar;Dodi Pratama;8;500000;4000000
22/10/2024;Laptop;Elektronik;Jakarta;Budi Santoso;1;8500000;8500000
25/10/2024;Mouse;Aksesoris;Bandung;Sari Dewi;12;150000;1800000
29/10/2024;Keyboard;Aksesoris;Surabaya;Ahmad Fauzi;9;350000;3150000
01/11/2024;Monitor;Elektronik;Jakarta;Rina Kusuma;4;3500000;14000000
05/11/2024;Headset;Elektronik;Medan;Dodi Pratama;11;500000;5500000
08/11/2024;Laptop;Elektronik;Makassar;Budi Santoso;2;8500000;17000000
12/11/2024;Mouse;Aksesoris;Jakarta;Sari Dewi;20;150000;3000000
15/11/2024;Keyboard;Aksesoris;Bandung;Ahmad Fauzi;6;350000;2100000
19/11/2024;Monitor;Elektronik;Surabaya;Rina Kusuma;3;3500000;10500000
22/11/2024;Headset;Elektronik;Jakarta;Dodi Pratama;15;500000;7500000
26/11/2024;Laptop;Elektronik;Medan;Budi Santoso;4;8500000;34000000
29/11/2024;Mouse;Aksesoris;Makassar;Sari Dewi;10;150000;1500000
03/12/2024;Keyboard;Aksesoris;Jakarta;Ahmad Fauzi;8;350000;2800000
06/12/2024;Monitor;Elektronik;Bandung;Rina Kusuma;6;3500000;21000000
10/12/2024;Headset;Elektronik;Surabaya;Dodi Pratama;14;500000;7000000
13/12/2024;Laptop;Elektronik;Jakarta;Budi Santoso;5;8500000;42500000
17/12/2024;Mouse;Aksesoris;Medan;Sari Dewi;18;150000;2700000
20/12/2024;Keyboard;Aksesoris;Makassar;Ahmad Fauzi;10;350000;3500000
24/12/2024;Monitor;Elektronik;Jakarta;Rina Kusuma;2;3500000;7000000
27/12/2024;Headset;Elektronik;Bandung;Dodi Pratama;16;500000;8000000
30/12/2024;Laptop;Elektronik;Surabaya;Budi Santoso;3;8500000;25500000
